id,timestamp,balance,equity,margin,free_margin,margin_level,total_profit,symbol_pnl,chat_id
39274,2026-01-22 03:59:46.980983,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39273,2026-01-22 03:59:46.980983,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39272,2026-01-22 03:59:40.635698,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39271,2026-01-22 03:59:40.635698,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39270,2026-01-22 03:59:36.944734,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39269,2026-01-22 03:59:36.944734,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39268,2026-01-22 03:59:30.598668,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39267,2026-01-22 03:59:30.598668,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39266,2026-01-22 03:59:26.896560,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39265,2026-01-22 03:59:26.896560,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39264,2026-01-22 03:59:20.561030,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
39263,2026-01-22 03:59:20.561030,82.63,82.63,0.0,82.63,0.0,0.0,0.0,
